typ,    seq#,  sec. ms,   mV,ev,^,pre, addr,i,dcc                       ,TCS,TS1,TS2,TCE,J1,J2,p,P,ch1   ,ch2
PKT,   37930, 5393.385,13600,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37931, 5393.391,13600,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37932, 5393.397,13600,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37933, 5393.403,13600,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37934, 5393.409,13600,00,f, 12, 1006,S,c3ee3f8193                , 31,   ,196,454,  , 1, ,+,      ,b2acac939a39
PKT,   37935, 5393.418,13400,00,f, 12, 1008,S,c3f03f818d                , 31,   ,196,454,  , 0, ,-,      ,b2acac939ab8
PKT,   37936, 5393.427,13600,00,f, 12,  255,i,ff00ff                    , 30,   ,   ,454,  ,  , , ,      ,
PKT,   37937, 5393.434,13600,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37938, 5393.440,13600,00,f, 12, 1010,S,c3f23f818f                , 30,   ,186,454,  ,10, ,+,      ,0f0f
PKT,   37939, 5393.449,13400,00,f, 12,  255,i,ff00ff                    , 30,   ,   ,454,  ,  , , ,      ,
PKT,   37940, 5393.455,13400,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37941, 5393.461,13600,00,f, 12, 1012,S,c3f43f8189                , 30,   ,186,454,  , 0, ,+,      ,0f0f
PKT,   37942, 5393.470,13600,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37943, 5393.476,13600,00,f, 12,  254,:,feff9d8d0312              , 26,   ,   ,460,  ,  , , ,      ,
PKT,   37944, 5393.487,13600,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37945, 5393.493,13600,00,f, 12, 1004,f,c3ecb09f                  , 31,   ,197,454,  ,11, ,-,      ,5aacac5aac9a
PKT,   37946, 5393.500,13600,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37947, 5393.506,13600,00,f, 12,  255,i,ff00ff                    , 30,   ,   ,454,  ,  , , ,      ,
PKT,   37948, 5393.512,13600,00,f, 12,  255,i,ff00ff                    , 30,   ,   ,454,  ,  , , ,      ,
PKT,   37949, 5393.519,13600,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37950, 5393.525,13600,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37951, 5393.531,13600,00,f, 12, 1006,f,c3eeb09d                  , 31,   ,196,454,  , 1, ,+,      ,5aacac5aac9a
PKT,   37952, 5393.538,13600,00,f, 12, 1008,f,c3f0b083                  , 31,   ,197,454,  , 1, ,-,      ,5aacac5aac9a
PKT,   37953, 5393.546,13600,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37954, 5393.552,13600,00,f, 12,  255,i,ff00ff                    , 30,   ,   ,454,  ,  , , ,      ,
PKT,   37955, 5393.558,13600,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
