typ,    seq#,  sec. ms,   mV,ev,^,pre, addr,i,dcc                       ,TCS,TS1,TS2,TCE,J1,J2,p,P,ch1   ,ch2                    
PKT,   20766,  657.398,13100,00,f, 12,  254,:,feffce4e0283              , 27,   ,   ,460,  ,  , , ,      ,                       
PKT,   20767,  657.408,13100,00,f, 12,   52,f,34a094                    , 31,   ,196,454,  , 1, ,-,      ,8eac                   
PKT,   20768,  657.415,13100,00,f, 12,   53,f,35a095                    , 31,   ,193,454,  , 3, ,-,      ,5aacac                 
PKT,   20769,  657.422,13100,00,f, 12,   54,S,363f8188                  , 31,   ,197,454,  , 4, ,-,      ,5aacac                 
PKT,   20770,  657.430,13100,00,f, 12,  112,P,70e4070093                , 31,   ,   ,454,  ,  , , ,      ,                       
PKT,   20771,  657.439,13100,00,f, 12,   56,f,38b088                    , 31,   ,200,454,  , 3, ,-,      ,5aacac5aac9a           
PKT,   20772,  657.446,13100,00,f, 12,   60,f,3ca09c                    , 31,   ,193,454,  , 7, ,-,      ,0f0f0f0f0f0f           
PKT,   20773,  657.453,13100,00,f, 12,   61,S,3d3f8183                  , 31,   ,192,454,  , 1, ,-,      ,f0f0                   
PKT,   20774,  657.461,13100,00,f, 12,   62,S,3e3f8180                  , 31,   ,205,454,  ,13, ,-,      ,f0                     
PKT,   20775,  657.469,13100,00,f, 12,   74,f,4aa0ea                    , 31,   ,200,454,  , 5, ,-,      ,0f0f                   
PKT,   20776,  657.475,13100,00,f, 12,   81,f,51b0e1                    , 31,   ,196,454,  , 4, ,-,      ,f0f0f0f0f0f0           
PKT,   20777,  657.482,13100,00,f, 12, 1002,S,c3ea3f8197                , 31,   ,196,454,  , 0, ,-,      ,55ac8b55acb1           
PKT,   20778,  657.491,13100,00,f, 12, 1003,f,c3eb80a8                  , 31,   ,197,454,  , 1, ,-,      ,5aac655aac63           
PKT,   20779,  657.499,13100,00,f, 12,  113,P,71e4070092                , 31,   ,   ,454,  ,  , , ,      ,                       
PKT,   20780,  657.509,13100,00,f, 12, 1004,f,c3ecb09f                  , 31,   ,196,454,  , 1, ,-,      ,55ac8b55acb1           
PKT,   20781,  657.516,13100,00,f, 12, 1005,f,c3ed80ae                  , 31,   ,197,454,  , 1, ,-,      ,5aac8e5aac8d           
PKT,   20782,  657.524,13100,00,f, 12, 1006,S,c3ee3f8193                , 31,   ,197,454,  , 0, ,-,      ,5aacac5aaa9a           
PKT,   20783,  657.533,13100,00,f, 12, 1007,S,c3ef3f8192                , 31,   ,197,454,  , 0, ,-,      ,5aac8e5aac8d           
PKT,   20784,  657.543,13100,00,f, 12, 1008,S,c3f03f818d                , 31,   ,197,454,  , 0, ,-,      ,5aac655aac63           
PKT,   20785,  657.552,13100,00,f, 12, 1009,f,c3f180b2                  , 31,   ,197,454,  , 0, ,-,      ,5aac8e5aac8d           
PKT,   20786,  657.560,13100,00,f, 12, 1010,S,c3f23f818f                , 31,   ,197,454,  , 0, ,-,      ,5aac655aac63           
PKT,   20787,  657.569,13100,00,f, 12, 1011,f,c3f380b0                  , 31,   ,197,454,  , 0, ,-,      ,599566599ad2           
PKT,   20788,  657.577,13100,00,f, 12,  114,P,72e4070091                , 31,   ,   ,454,  ,  , , ,      ,                       
PKT,   20789,  657.587,13100,00,f, 12, 1012,S,c3f43f8189                , 31,   ,197,454,  , 0, ,-,      ,59a36659b2d2           
PKT,   20790,  657.596,13100,00,f, 12, 1013,S,c3f53f8188                , 31,   ,197,454,  , 0, ,-,      ,5aacb25333b4           
PKT,   20791,  657.606,13100,00,f, 12,  254,:,feffce4e0283              , 27,   ,   ,460,  ,  , , ,      ,                       
PKT,   20792,  657.616,13100,00,f, 12,   51,f,33a093                    , 31,   ,199,454,  , 2, ,-,      ,8eac                   
PKT,   20793,  657.623,13100,00,f, 12,   52,S,343f818a                  , 31,   ,195,454,  , 4, ,-,      ,8eac                   
PKT,   20794,  657.631,13100,00,f, 12,   53,S,353f818b                  , 31,   ,195,454,  , 0, ,-,      ,5aacac5ab45c           
PKT,   20795,  657.638,13100,00,f, 12,   54,f,36b086                    , 31,   ,198,454,  , 3, ,-,      ,5aacac                 
PKT,   20796,  657.645,13100,00,f, 12,   56,S,383f8186                  , 31,   ,194,454,  , 4, ,-,      ,5aacac59a9d2           
PKT,   20797,  657.653,13100,00,f, 12,  115,P,73e4070090                , 31,   ,   ,454,  ,  , , ,      ,                       
PKT,   20798,  657.663,13100,00,f, 12,   60,S,3c3f8182                  , 31,   ,193,454,  , 1, ,-,      ,0f0f0f0f0f0f           
PKT,   20799,  657.671,13100,00,f, 12,   61,f,3db08d                    , 31,   ,192,454,  , 1, ,-,      ,f0f0                   
PKT,   20800,  657.677,13100,00,f, 12,   62,f,3e80be                    , 31,   ,204,454,  ,12, ,-,      ,f0                     
PKT,   20801,  657.684,13100,00,f, 12,   74,S,4a3f81f4                  , 31,   ,200,454,  , 4, ,-,      ,5aac9a                 
PKT,   20802,  657.691,13100,00,f, 12,   81,S,513f81ef                  , 31,   ,196,454,  , 4, ,-,      ,5aacac                 
PKT,   20803,  657.699,13100,00,f, 12, 1002,f,c3ea80a9                  , 31,   ,196,454,  , 0, ,-,      ,5aacb25aaab4           
PKT,   20804,  657.707,13100,00,f, 12, 1003,S,c3eb3f8196                , 31,   ,197,454,  , 1, ,-,      ,599a66599cd2           
PKT,   20805,  657.716,13100,00,f, 12, 1004,S,c3ec3f8191                , 31,   ,197,454,  , 0, ,-,      ,5aacb259b1b4           
PKT,   20806,  657.726,13100,00,f, 12,  116,P,74e4070097                , 31,   ,   ,454,  ,  , , ,      ,                       
PKT,   20807,  657.735,13100,00,f, 12, 1005,S,c3ed3f8190                , 31,   ,197,454,  , 0, ,-,      ,55aa8b55aab1           
PKT,   20808,  657.745,13100,00,f, 12, 1006,f,c3eeb09d                  , 31,   ,197,454,  , 0, ,-,      ,5aac655aac63           
PKT,   20809,  657.752,13100,00,f, 12, 1007,f,c3efa08c                  , 31,   ,196,454,  , 1, ,-,      ,5a368b5a36b1           
PKT,   20810,  657.760,13100,00,f, 12, 1008,f,c3f080b3                  , 31,   ,197,454,  , 1, ,-,      ,59996659a6d2           
PKT,   20811,  657.768,13100,00,f, 12, 1009,S,c3f13f818c                , 31,   ,197,454,  , 0, ,-,      ,59338b5933b1           
PKT,   20812,  657.777,13100,00,f, 12, 1010,f,c3f2b081                  , 31,   ,197,454,  , 0, ,-,      ,599c6659b1d2           
PKT,   20813,  657.785,13100,00,f, 12, 1011,S,c3f33f818e                , 31,   ,197,454,  , 0, ,-,      ,5aac995aaa95           
PKT,   20814,  657.795,13100,00,f, 12, 1012,f,c3f4a097                  , 31,   ,197,454,  , 0, ,-,      ,5aac995aaa95           
PKT,   20815,  657.802,13100,00,f, 12,  254,:,feffce4e0283              , 27,   ,   ,460,  ,  , , ,      ,                       
PKT,   20816,  657.813,13100,00,f, 12,  117,P,75e4070096                , 31,   ,   ,454,  ,  , , ,      ,                       
PKT,   20817,  657.823,13100,00,f, 12, 1013,f,c3f5a096                  , 31,   ,197,454,  , 0, ,-,      ,b2acacaa8e5a           
PKT,   20818,  657.830,13100,00,f, 12,   51,S,333f818d                  , 31,   ,197,454,  , 0, ,-,      ,8eac                   
PKT,   20819,  657.838,13100,00,f, 12,   52,f,3480b4                    , 31,   ,196,454,  , 1, ,-,      ,8eac                   
PKT,   20820,  657.845,13100,00,f, 12,   53,f,3580b5                    , 31,   ,196,454,  , 0, ,-,      ,5aacac5aac9a           
PKT,   20821,  657.852,13100,00,f, 12,   54,S,363f8188                  , 31,   ,196,454,  , 0, ,-,      ,5aacac59a9d2           
PKT,   20822,  657.860,13100,00,f, 12,   56,f,38a098                    , 31,   ,198,454,  , 2, ,-,      ,5aacac5ab45c           
PKT,   20823,  657.866,13100,00,f, 12,   60,f,3c80bc                    , 31,   ,193,454,  , 5, ,-,      ,0f0f0f0f0f0f           
PKT,   20824,  657.873,13100,00,f, 12,   61,S,3d3f8183                  , 31,   ,192,454,  , 1, ,-,      ,f0f0                   
PKT,   20825,  657.881,13100,00,f, 12,  118,P,76e4070095                , 31,   ,   ,454,  ,  , , ,      ,                       
PKT,   20826,  657.890,13100,00,f, 12,   62,S,3e3f8180                  , 31,   ,203,454,  ,11, ,-,      ,f0                     
PKT,   20827,  657.898,13100,00,f, 12,   74,f,4a80ca                    , 31,   ,201,454,  , 2, ,-,      ,0f0f                   
PKT,   20828,  657.905,13100,00,f, 12,   81,f,51a0f1                    , 31,   ,195,454,  , 6, ,-,      ,5aac9a                 
PKT,   20829,  657.912,13100,00,f, 12, 1002,S,c3ea3f8197                , 31,   ,196,454,  , 1, ,-,      ,b2acacaa8e5a           
PKT,   20830,  657.921,13100,00,f, 12, 1003,f,c3ebb098                  , 31,   ,197,454,  , 1, ,-,      ,5aac995aaa95           
PKT,   20831,  657.929,13100,00,f, 12, 1004,f,c3eca08f                  , 31,   ,197,454,  , 0, ,-,      ,b2acacaa8e55           
PKT,   20832,  657.937,13100,00,f, 12, 1005,f,c3edb09e                  , 31,   ,197,454,  , 0, ,-,      ,5aacb25a47b4           
PKT,   20833,  657.944,13100,00,f, 12, 1006,S,c3ee3f8193                , 31,   ,197,454,  , 0, ,-,      ,598e66599cd2           
PKT,   20834,  657.953,13100,00,f, 12,  119,P,77e4070094                , 31,   ,   ,454,  ,  , , ,      ,                       
PKT,   20835,  657.963,13100,00,f, 12, 1007,S,c3ef3f8192                , 31,   ,197,454,  , 0, ,-,      ,5aacb25aa5b4           
PKT,   20836,  657.972,13100,00,f, 12, 1008,S,c3f03f818d                , 31,   ,197,454,  , 0, ,-,      ,5aac995aaa95           
PKT,   20837,  657.981,13100,00,f, 12, 1009,f,c3f1b082                  , 31,   ,197,454,  , 0, ,-,      ,5aacb25a2eb4           
PKT,   20838,  657.990,13100,00,f, 12, 1010,S,c3f23f818f                , 31,   ,197,454,  , 0, ,-,      ,5aac995aaa95           
PKT,   20839,  657.999,13100,00,f, 12, 1011,f,c3f3b080                  , 31,   ,197,454,  , 0, ,-,      ,5972935a7496           
PKT,   20840,  658.007,13100,00,f, 12,  254,:,feffce4e0283              , 27,   ,   ,460,  ,  , , ,      ,                       
PKT,   20841,  658.017,13100,00,f, 12, 1012,S,c3f43f8189                , 31,   ,197,454,  , 0, ,-,      ,5972935a7496           
PKT,   20842,  658.026,13100,00,f, 12, 1013,S,c3f53f8188                , 31,   ,197,454,  , 0, ,-,      ,5aacac5aac9a           
